fips_code,age_group,population
2275,0-4,120
2275,5-11,150
2275,12-15,127
2275,16-17,71
2275,18-24,109
2275,25-39,397
2275,40-49,309
2275,50-64,650
2275,65-74,291
2275,75-99,278
2282,0-4,56
2282,5-11,55
2282,12-15,29
2282,16-17,9
2282,18-24,57
2282,25-39,147
2282,40-49,78
2282,50-64,123
2282,65-74,56
2282,75-99,38
2290,0-4,400
2290,5-11,639
2290,12-15,294
2290,16-17,158
2290,18-24,444
2290,25-39,1062
2290,40-49,509
2290,50-64,1101
2290,65-74,533
2290,75-99,237
4001,0-4,4813
4001,5-11,7715
4001,12-15,4687
4001,16-17,2336
4001,18-24,7011
4001,25-39,13131
4001,40-49,7707
4001,50-64,13417
4001,65-74,6477
4001,75-99,4217
4003,0-4,7414
4003,5-11,11097
4003,12-15,5830
4003,16-17,3045
4003,18-24,10842
4003,25-39,23030
4003,40-49,13153
4003,50-64,24178
4003,65-74,15678
4003,75-99,11600
4005,0-4,7762
4005,5-11,11071
4005,12-15,7092
4005,16-17,3379
4005,18-24,28890
4005,25-39,27889
4005,40-49,14068
4005,50-64,24140
4005,65-74,10888
4005,75-99,6095
4007,0-4,2935
4007,5-11,4244
4007,12-15,2367
4007,16-17,1186
4007,18-24,3484
4007,25-39,7363
4007,40-49,5099
4007,50-64,11669
4007,65-74,8907
4007,75-99,6292
4009,0-4,2765
4009,5-11,3867
4009,12-15,2472
4009,16-17,1179
4009,18-24,4007
4009,25-39,8002
4009,40-49,4713
4009,50-64,5789
4009,65-74,2983
4009,75-99,2219
4011,0-4,749
4011,5-11,992
4011,12-15,613
4011,16-17,274
4011,18-24,1040
4011,25-39,1925
4011,40-49,1122
4011,50-64,1629
4011,65-74,615
4011,75-99,563
4012,0-4,962
4012,5-11,1356
4012,12-15,714
4012,16-17,363
4012,18-24,1345
4012,25-39,2578
4012,40-49,1818
4012,50-64,3632
4012,65-74,3864
4012,75-99,4161
4013,0-4,278509
4013,5-11,407809
4013,12-15,240895
4013,16-17,118848
4013,18-24,403934
4013,25-39,916793
4013,40-49,557157
4013,50-64,763051
4013,65-74,373691
4013,75-99,268123
4015,0-4,9109
4015,5-11,14126
4015,12-15,8835
4015,16-17,4297
4015,18-24,12938
4015,25-39,31051
4015,40-49,19598
4015,50-64,46359
4015,65-74,35172
4015,75-99,26211
4017,0-4,7730
4017,5-11,11565
4017,12-15,6838
4017,16-17,3317
4017,18-24,9295
4017,25-39,19363
4017,40-49,11459
4017,50-64,20641
4017,65-74,11591
4017,75-99,7471
4019,0-4,58325
4019,5-11,84648
4019,12-15,49223
4019,16-17,24937
4019,18-24,122270
4019,25-39,191431
4019,40-49,112103
4019,50-64,186909
4019,65-74,112285
4019,75-99,85076
4021,0-4,24924
4021,5-11,40267
4021,12-15,23163
4021,16-17,11033
4021,18-24,34052
4021,25-39,87365
4021,40-49,51479
4021,50-64,74535
4021,65-74,52433
4021,75-99,33541
4023,0-4,3311
4023,5-11,5042
4023,12-15,2830
4023,16-17,1527
4023,18-24,4468
4023,25-39,7959
4023,40-49,4861
4023,50-64,8445
4023,65-74,4672
4023,75-99,3365
4025,0-4,9589
4025,5-11,14868
4025,12-15,8747
4025,16-17,4525
4025,18-24,15123
4025,25-39,30414
4025,40-49,21607
4025,50-64,53336
4025,65-74,41825
4025,75-99,28033
4027,0-4,15071
4027,5-11,20597
4027,12-15,11757
4027,16-17,5803
4027,18-24,23724
4027,25-39,40294
4027,40-49,22187
4027,50-64,31335
4027,65-74,19439
4027,75-99,19261
5001,0-4,1142
5001,5-11,1644
5001,12-15,891
5001,16-17,427
5001,18-24,1388
5001,25-39,3283
5001,40-49,1945
5001,50-64,3790
5001,65-74,1968
5001,75-99,1437
5003,0-4,1234
5003,5-11,2198
5003,12-15,778
5003,16-17,447
5003,18-24,1812
5003,25-39,3317
5003,40-49,2290
5003,50-64,4159
5003,65-74,2389
5003,75-99,1647
5005,0-4,1736
5005,5-11,2750
5005,12-15,1855
5005,16-17,926
5005,18-24,2385
5005,25-39,5752
5005,40-49,4266
5005,50-64,8978
5005,65-74,6798
5005,75-99,5981
5007,0-4,18710
5007,5-11,27785
5007,12-15,16227
5007,16-17,7755
5007,18-24,21374
5007,25-39,59106
5007,40-49,35497
5007,50-64,44033
5007,65-74,20608
5007,75-99,14663
5009,0-4,2335
5009,5-11,3413
5009,12-15,1907
5009,16-17,951
5009,18-24,2741
5009,25-39,6579
5009,40-49,4320
5009,50-64,7493
5009,65-74,4295
5009,75-99,3296
5011,0-4,663
5011,5-11,1115
5011,12-15,543
5011,16-17,275
5011,18-24,758
5011,25-39,1950
5011,40-49,1421
5011,50-64,2155
5011,65-74,1057
5011,75-99,937
5013,0-4,257
5013,5-11,354
5013,12-15,227
5013,16-17,129
5013,18-24,507
5013,25-39,892
5013,40-49,504
5013,50-64,1219
5013,65-74,584
5013,75-99,518
5015,0-4,1581
